Organizations,About,Technology,Category,Topics
FreeBSD,FreeBSD: The Foundation of the Internet," c/c++, llvm, shell script,  assembly, make",Operating Systems,"virtualization,  kernel, cloud,  embedded systems, security"
FreeType,FreeType font rendering library,"c, gnu make, gnu autotools, python, fonts",Graphics / Video / Audio / Virtual Reality,"fonts, truetype, opentype, rendering, graphics"
freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"c, python, ruby, openwrt, html/css/js",Social / Communications,"network, embedded systems, web apps, wireless communications, software defined networking"
"Genes, Genomes and Variation",Authoritative databases of genome sequences and their function,"perl, mysql,  javascript,  python, rest",Science and Medicine,"genomics, data analysis, databases,  scientific visualization"
GENIVI Alliance,Developing open software for IVI and the connected car.,"yocto, embedded, automotive, some/ip",Other,"automotive, graphics, communication, bigdata,  embedded systems"
Gentoo Foundation,"A flexible, source-based Linux distribution.","shell script, bash,  c/c++,  python, linux kernel",Operating Systems,"operating systems, package management,  embedded systems, application security, init systems"
Git,"fast, scalable, distributed revision control system","c, shell, git",Programming Languages and Development Tools,"version-control, dvcs"
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health," java, mongodb, spring",Science and Medicine,"genomics, genetics, bioinformatics, web, standards"
GNOME,The elegant and ethical desktop experience,"c, javascript, gtk+, python, rust",Operating Systems,"desktop, design, operating system, end user application, application"
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver," c/c++, c++ libraries c++11 c++14 c++17 c++20, c++17, gnss, sdr",Science and Medicine,"gnss,  geolocation,  navigation,  software defined radio,  communications"
GNU Compiler Collection,A set of compilers produced by the GNU project," c/c++, gnu autotools",Programming Languages and Development Tools,"compilers, toolchain, openmp"
GNU Mailman,the GNU Mailing List Manager,"python 3, email, rest, django",End User Applications,email
GNU Octave,Free Your Numbers,"c++, hg",Programming Languages and Development Tools,"mathematics, numerical computation, numerical methods, matlab, scientific computing"
GNU Radio,GNU Radio: The free & open software radio ecosystem.,"python, c++, qt, android",Science and Medicine,"software defined radio, software radio, radar, wireless communications, digital signal processing"
Godot Engine,Multi-platform fully-featured 2D and 3D game engine,"c++, gdscript, opengl, cpp, github",Graphics / Video / Audio / Virtual Reality,"game engine,  graphics, game development, real time, cross-platform"
gprMax,Simulating electromagnetic wave propagation for Ground Penetrating Radar,"python, cuda, openmp, cython, mpi",Science and Medicine,"engineering, geophysics, science, electromagnetics, ground penetrating radar"
Haiku,Integrated operating system for personal computers,"c++, unix, posix, arm, x86",Operating Systems,"desktop, graphics, filesystems, drivers, kernel"
Haskell.Org,"Standardized, statically typed, lazy functional programming language","haskell, ghc, servant, codeworld, cabal",Programming Languages and Development Tools,"haskell, functional programming, education, build tools, compilers"
Hydra Ecosystem,Automate REST APIs. Next generation API clients.,"python, redis, flask, javascript, sql",Web,"semantic web, api, web, hydra, docker"
INCF,Advancing global collaborative brain research,"python, javascript, jupyter, c++, xml",Science and Medicine,"neuroscience, brain modelling, bio/neuro image processing, big data,  science"
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OS X & Linux.","svg, css, c++11, gtk,  python",Graphics / Video / Audio / Virtual Reality,vector graphics
Institut für Angewandte Informatik (InfAI) e.V.,Putting scientific research into practice.,"java,  javascript, a-frame, neo4j, htc vive",Graphics / Video / Audio / Virtual Reality,"virtual reality, software quality, visualization, software analytics,  web"
Intel Media And Audio For Linux,Intel Media And Audio For Linux,"video, audio, ffmpeg, gstreamer, hardware acceleration",Graphics / Video / Audio / Virtual Reality,"video processing, audio firmware, hardware accelerated media processing, video framework, video decoding/encoding"
InterMine,"Integrating biological data sources, making it easy to query and analyse data","java,  python,  javascript,  clojure,  r",Science and Medicine,"bioinformatics,  web,  open science,  biology,  data visualisation"
Internet Archive,Universal Access to All Knowledge,"python, javascript, node.js, php, elasticsearch",Other,"library, archive, web archives"
Internet Systems Consortium,We support the infrastructure of the Internet with Open Source," c/c++, c99, mysql, python, javascript",Other,"internet, networking, dhcp, dns, infrastructure"
JabRef,The open-source reference manager,"java, javafx, latex",End User Applications,"academia, reference manager, bibtex, pdf"
JBoss Community,Community of Java projects around JBoss Middleware,"java, golang, react",Programming Languages and Development Tools,"cloud, database, kubernetes, codeuino"
JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision," ros, gazebo,  python,  c/c++, opencv",Other,"robotics,  education, computer vision, developer tools"
Jenkins project,Open-source automation server for building great things at any scale," java,  javascript, docker, kubernetes, machine learning",Programming Languages and Development Tools,"continuous integration, continuous delivery, devops, developer tools, automation"
Joomla,"Joomla, the flexible platform empowering website creators.","php,  javascript, mysql, html/css, cms",Web,"web, web development, web application, programming languages, cms"
JSK Robotics Laboratory / The University of Tokyo,JSK is focusing on the fundamental functions & systems for intelligent robots,"ros, lisp",Science and Medicine,"robotics, ros"
Kapitan,Generic templated configuration management for kubernetes and more,"kubernetes, terraform, python, jinja2, jsonnet",Programming Languages and Development Tools,"cloud, kubernetes"
KDE Community,Experience Freedom!,"c++, qt, qt5",End User Applications,"privacy, deskstop, desktop application, education, science"
Kiwix,Internet content for people without internet access,"android, java, c++, python, javascript",End User Applications,offline access
KNIME,Open for Innovation,"javascript, java, tensorflow",Data and Databases,"data analytics, data science, machine learning, deep learning, image processing"
Kodi Foundation,The ultimate entertainment center,"c++, ffmpeg, sqlite, mysql, python",End User Applications,"media, video, audio, games"
LabLua,Programming Languages Research with emphasis on the Lua language,"lua,  céu",Programming Languages and Development Tools,"scripting languages,  reactive programming, kernel scripting"
Libre Space Foundation,Open-source software and hardware technologies for space," python, django, arduino, raspberry pi,  c/c++",Science and Medicine,"web applications, hardware, cubesats, space applications,  software defined radio"
LibreHealth,Healthcare for Humanity,"java, javascript, webcomponents, mysql",Science and Medicine,"web apps, ictd, health, global health, medicine"
LibreOffice,LibreOffice is a free and open source office suite.,"c++,  python,  java",End User Applications,"office suite, android, end user application, desktop application"
Libvirt,virtualization abstraction library,"virtualization, kvm, xen, c,  python",Cloud,"virtualization, virtual machine, libraries, cloud"
Linkerd,Ultralight service mesh for Kubernetes and beyond,"golang, rust, kubernetes,  react, prometheus",Cloud,"service mesh, cloud native, networking, kubernetes, dev-ops"
Liquid Galaxy project,Liquid Galaxy delivers panoramic views across multiple displays and computers,"python, nodejs, android, maps api",Other,"geo, visualization, cluster, data"
LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"llvm, clang",Programming Languages and Development Tools,"programming languages and development tools, compiler, code analysis"
LuaRocks,The Lua package manager and ecosystem,lua,Programming Languages and Development Tools,"programming languages, package managers, games"
